ticker,company name,short name,industry,sector,name change effective date
A,Agilent Technologies Inc.,Agilent,Medical Diagnostics & Research,Healthcare,
AA,Alcoa Corporation,Alcoa,Metals & Mining,Basic Materials,
AABA,Altaba Inc.,Altaba,Asset Management,Financial Services,
AAC,AAC Holdings Inc.,AAC,Health Care Providers,Healthcare,
AADR,AdvisorShares Dorsey Wright ADR,AdvisorShares Dorsey Wright,,,
AAL,American Airlines Group Inc.,American Airlines,Airlines,Industrials,
AAMC,Altisource Asset Management Corp Com,Altisource Asset Management,Asset Management,Financial Services,
AAME,Atlantic American Corporation,Atlantic American,Insurance - Life,Financial Services,
AAN,Aaron's Inc.,Aaron's,Consulting & Outsourcing,Industrials,
AAOI,Applied Optoelectronics Inc.,Applied Optoelectronics,Semiconductors,Technology,
AAON,AAON Inc.,AAON,Building Materials,Basic Materials,
AAP,Advance Auto Parts Inc W/I,Advance Auto Parts,Retail - Apparel & Specialty,Consumer Cyclical,
AAPL,Apple Inc.,Apple,Computer Hardware,Technology,
AAT,American Assets Trust Inc.,American Assets Trust,REITs,Real Estate,
AAU,Almaden Minerals Ltd.,Almaden Minerals,Metals & Mining,Basic Materials,
AAWW,Atlas Air Worldwide Holdings,Atlas Air Worldwide,Transportation & Logistics,Industrials,
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,iShares MSCI All Country Asia ex Japan Index Fund,,,
AAXN,Axon Enterprise Inc.,Axon Enterprise,Aerospace & Defense,Industrials,
AB,AllianceBernstein Holding L.P. Units,AllianceBernstein Holding Units,Asset Management,Financial Services,
ABB,ABB Ltd,ABB,Industrial Products,Industrials,
ABBV,AbbVie Inc.,AbbVie,Drug Manufacturers,Healthcare,
ABC,AmerisourceBergen Corporation,AmerisourceBergen,Medical Distribution,Healthcare,
ABCB,Ameris Bancorp,Ameris Bancorp,Banks,Financial Services,
ABDC,Alcentra Capital Corp.,Alcentra Capital,Asset Management,Financial Services,
ABEO,Abeona Therapeutics Inc.,Abeona Therapeutics,Biotechnology,Healthcare,
ABEV,Ambev S.A. American Depositary Shares (Each representing 1),Ambev S.A. American Depositary Shares (Each representing 1),Beverages - Alcoholic,Consumer Defensive,
ABG,Asbury Automotive Group Inc,Asbury Automotive,Autos,Consumer Cyclical,
ABIL,Ability Inc.,Ability,Communication Equipment,Technology,
ABIO,ARCA biopharma Inc.,ARCA biopharma,Biotechnology,Healthcare,
ABM,ABM Industries Incorporated,ABM Industries Incorporated,Business Services,Industrials,
ABMD,ABIOMED Inc.,ABIOMED,Medical Devices,Healthcare,
ABR,Arbor Realty Trust,Arbor Realty Trust,REITs,Real Estate,
ABT,Abbott Laboratories,Abbott Laboratories,Medical Devices,Healthcare,
ABTX,Allegiance Bancshares Inc.,Allegiance Bancshares,Banks,Financial Services,
ABUS,Arbutus Biopharma Corporation,Arbutus Biopharma,Biotechnology,Healthcare,
AC,Associated Capital Group Inc.,Associated Capital,Brokers & Exchanges,Financial Services,
ACA,Arcosa Inc.,Arcosa,Engineering & Construction,Industrials,
ACAD,ACADIA Pharmaceuticals Inc.,ACADIA Pharmaceuticals,Biotechnology,Healthcare,
ACB,Aurora Cannabis Inc.,Aurora Cannabis,Drug Manufacturers,Healthcare,
ACBI,Atlantic Capital Bancshares Inc.,Atlantic Capital Bancshares,Banks,Financial Services,
ACC,American Campus Communities Inc,American Campus Communities,REITs,Real Estate,
ACCO,Acco Brands Corporation,Acco Brands,Industrial Products,Industrials,
ACER,Acer Therapeutics Inc.,Acer Therapeutics,Biotechnology,Healthcare,
ACET,Aceto Corporation,Aceto,Drug Manufacturers,Healthcare,
ACGL,Arch Capital Group Ltd.,Arch Capital,Insurance,Financial Services,
ACH,Aluminum Corporation of China Limited American Depositary Shares,Aluminum of China Limited American Depositary Shares,Metals & Mining,Basic Materials,
ACHC,Acadia Healthcare Company Inc.,Acadia Healthcare Company,Health Care Providers,Healthcare,
ACHN,Achillion Pharmaceuticals Inc.,Achillion Pharmaceuticals,Biotechnology,Healthcare,
ACHV,Achieve Life Sciences Inc.,Achieve Life Sciences,Biotechnology,Healthcare,
ACIA,Acacia Communications Inc.,Acacia Communications,Communication Equipment,Technology,
ACIM,SPDR MSCI ACWI IMI,SPDR MSCI ACWI IMI,,,
ACIU,AC Immune SA,AC Immune SA,Biotechnology,Healthcare,
ACIW,ACI Worldwide Inc.,ACI Worldwide,Application Software,Technology,
ACLS,Axcelis Technologies Inc.,Axcelis,Semiconductors,Technology,
ACM,AECOM,AECOM,Engineering & Construction,Industrials,
ACMR,ACM Research Inc.,ACM Research,Semiconductors,Technology,
ACN,Accenture plc Class A (Ireland),Accenture plc (Ireland),Application Software,Technology,
ACNB,ACNB Corporation,ACNB,Banks,Financial Services,
ACOR,Acorda Therapeutics Inc.,Acorda Therapeutics,Biotechnology,Healthcare,
ACP,Aberdeen Income Credit Strategies Fund,Aberdeen Income Credit Strategies Fund,Asset Management,Financial Services,
ACRE,Ares Commercial Real Estate Corporation,Ares Commercial Real Estate,REITs,Real Estate,
ACRS,Aclaris Therapeutics Inc.,Aclaris Therapeutics,Biotechnology,Healthcare,
ACRX,AcelRx Pharmaceuticals Inc.,AcelRx Pharmaceuticals,Medical Devices,Healthcare,
ACST,Acasti Pharma Inc.,Acasti Pharma,Biotechnology,Healthcare,
ACTG,Acacia Research Corporation,Acacia Research,Business Services,Industrials,
ACU,Acme United Corporation.,Acme United Corporation.,Consumer Packaged Goods,Consumer Defensive,
ACV,AllianzGI Diversified Income & Convertible Fund of Beneficial Interest,AllianzGI Diversified Income & Convertible Fund of Beneficial Interest,Asset Management,Financial Services,
ACWI,iShares MSCI ACWI Index Fund,iShares MSCI ACWI Index Fund,,,
ACWV,iShares Edge MSCI Min Vol Global,iShares Edge MSCI Min Vol Global,,,
ACWX,iShares MSCI ACWI ex US Index Fund,iShares MSCI ACWI ex US Index Fund,,,
ACY,AeroCentury Corp.,AeroCentury,Consulting & Outsourcing,Industrials,
ADAP,Adaptimmune Therapeutics plc,Adaptimmune Therapeutics plc,Biotechnology,Healthcare,
ADBE,Adobe Inc.,Adobe,Application Software,Technology,
ADC,Agree Realty Corporation,Agree Realty,REITs,Real Estate,
ADES,Advanced Emissions Solutions Inc.,Advanced Emissions Solutions,Industrial Products,Industrials,
ADI,Analog Devices Inc.,Analog Devices,Semiconductors,Technology,
ADIL,Adial Pharmaceuticals Inc,Adial Pharmaceuticals,Biotechnology,Healthcare,
ADM,Archer-Daniels-Midland Company,Archer-Daniels-Midland Company,Consumer Packaged Goods,Consumer Defensive,
ADMA,ADMA Biologics Inc,ADMA Biologics,Biotechnology,Healthcare,
ADMP,Adamis Pharmaceuticals Corporation,Adamis Pharmaceuticals,Drug Manufacturers,Healthcare,
ADMS,Adamas Pharmaceuticals Inc.,Adamas Pharmaceuticals,Drug Manufacturers,Healthcare,
ADNT,Adient plc,Adient plc,Autos,Consumer Cyclical,
ADOM,ADOMANI Inc.,ADOMANI,Autos,Consumer Cyclical,
ADP,Automatic Data Processing Inc.,Automatic Data Processing,Business Services,Industrials,
ADRA,Invesco BLDRS Asia 50 ADR Index Fund,Invesco BLDRS Asia 50 Index Fund,,,
ADRD,Invesco BLDRS Developed Markets 100 ADR Index Fund,Invesco BLDRS Developed Markets 100 Index Fund,,,
ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,Invesco BLDRS Emerging Markets 50 Index Fund,,,
ADRO,Aduro Biotech Inc.,Aduro Biotech,Biotechnology,Healthcare,
ADRU,Invesco BLDRS Europe Select ADR Index Fund,Invesco BLDRS Europe Select Index Fund,,,
ADS,Alliance Data Systems Corporation,Alliance Data Systems,Credit Services,Financial Services,
ADSK,Autodesk Inc.,Autodesk,Application Software,Technology,
ADSW,Advanced Disposal Services Inc.,Advanced Disposal Services,Waste Management,Industrials,
ADT,ADT Inc.,ADT,Consulting & Outsourcing,Industrials,
ADTN,ADTRAN Inc.,ADTRAN,Communication Equipment,Technology,
ADUS,Addus HomeCare Corporation,Addus HomeCare,Health Care Providers,Healthcare,
ADVM,Adverum Biotechnologies Inc.,Adverum Biotechnologies,Biotechnology,Healthcare,
ADX,Adams Diversified Equity Fund Inc.,Adams Diversified Equity Fund,Asset Management,Financial Services,
ADXS,Advaxis Inc.,Advaxis,Biotechnology,Healthcare,
AE,Adams Resources & Energy Inc.,Adams Resources & Energy,Oil & Gas - Integrated,Energy,
AEE,Ameren Corporation,Ameren,Utilities - Regulated,Utilities,
AEF,Aberdeen Emerging Markets Equity Income Fund Inc.,Aberdeen Emerging Markets Equity Income Fund,Asset Management,Financial Services,
AEG,AEGON N.V.,AEGON N.V.,Insurance,Financial Services,
AEGN,Aegion Corp,Aegion,Engineering & Construction,Industrials,
AEHR,Aehr Test Systems,Aehr Test Systems,Semiconductors,Technology,
AEIS,Advanced Energy Industries Inc.,Advanced Energy Industries,Computer Hardware,Technology,
AEL,American Equity Investment Life Holding Company,American Equity Investment Life Holding Company,Insurance - Life,Financial Services,
AEM,Agnico Eagle Mines Limited,Agnico Eagle Mines Limited,Metals & Mining,Basic Materials,
AEMD,Aethlon Medical Inc.,Aethlon Medical,Computer Hardware,Technology,
AEO,American Eagle Outfitters Inc.,American Eagle Outfitters,Retail - Apparel & Specialty,Consumer Cyclical,
AEP,American Electric Power Company Inc.,American Electric Power Company,Utilities - Regulated,Utilities,
AER,AerCap Holdings N.V.,AerCap N.V.,Transportation & Logistics,Industrials,
AERI,Aerie Pharmaceuticals Inc.,Aerie Pharmaceuticals,Drug Manufacturers,Healthcare,
AES,The AES Corporation,The AES,Utilities - Regulated,Utilities,
AETI,American Electric Technologies Inc.,American Electric,Industrial Products,Industrials,
AEY,ADDvantage Technologies Group Inc.,ADDvantage,Computer Hardware,Technology,
AEYE,AudioEye Inc.,AudioEye,Application Software,Technology,
AEZS,Aeterna Zentaris Inc.,Aeterna Zentaris,Biotechnology,Healthcare,
AFB,AllianceBernstein National Municipal Income Fund Inc,AllianceBernstein National Municipal Income Fund,Asset Management,Financial Services,
AFG,American Financial Group Inc.,American Financial,Insurance - Property & Casualty,Financial Services,
AFH,Atlas Financial Holdings Inc.,Atlas Financial,Insurance - Property & Casualty,Financial Services,
AFI,Armstrong Flooring Inc.,Armstrong Flooring,Building Materials,Basic Materials,
AFIN,American Finance Trust Inc.,American Finance Trust,REITs,Real Estate,
AFK,VanEck Vectors-Africa Index,VanEck Vectors-Africa Index,,,
AFL,AFLAC Incorporated,AFLAC Incorporated,Insurance - Life,Financial Services,
AFMD,Affimed N.V.,Affimed N.V.,Biotechnology,Healthcare,
AFT,Apollo Senior Floating Rate Fund Inc.,Apollo Senior Floating Rate Fund,Asset Management,Financial Services,
AG,First Majestic Silver Corp. (Canada),First Majestic Silver (Canada),Metals & Mining,Basic Materials,
AGCO,AGCO Corporation,AGCO,Farm & Construction Machinery,Industrials,
AGD,Aberdeen Global Dynamic Dividend Fund,Aberdeen Global Dynamic Dividend Fund,Asset Management,Financial Services,
AGE,AgeX Therapeutics Inc.,AgeX Therapeutics,Biotechnology,Healthcare,
AGEN,Agenus Inc.,Agenus,Biotechnology,Healthcare,
AGF,DB Agriculture Long ETN due April 1 2038,DB Agriculture Long ETN due April 1 2038,,,
AGFS,AgroFresh Solutions Inc.,AgroFresh Solutions,Agriculture,Basic Materials,
AGG,iShares Core U.S. Aggregate Bond,iShares Core U.S. Aggregate Bond,,,
AGI,Alamos Gold Inc. Class A,Alamos Gold,Metals & Mining,Basic Materials,
AGIO,Agios Pharmaceuticals Inc.,Agios Pharmaceuticals,Biotechnology,Healthcare,
AGLE,Aeglea BioTherapeutics Inc.,Aeglea BioTherapeutics,Biotechnology,Healthcare,
AGM,Federal Agricultural Mortgage Corporation,Federal Agricultural Mortgage,Credit Services,Financial Services,
AGM.A,Federal Agricultural Mortgage Corporation,Federal Agricultural Mortgage,Credit Services,Financial Services,
AGMH,AGM Group Holdings Inc.,AGM,Application Software,Technology,
AGN,Allergan plc,Allergan plc,Drug Manufacturers,Healthcare,
AGNC,AGNC Investment Corp.,AGNC Investment,REITs,Real Estate,
AGO,Assured Guaranty Ltd.,Assured Guaranty,Insurance - Specialty,Financial Services,
AGQ,ProShares Ultra Silver,ProShares Ultra Silver,,,
AGR,Avangrid Inc.,Avangrid,Utilities - Regulated,Utilities,
AGRO,Adecoagro S.A.,Adecoagro S.A.,Consumer Packaged Goods,Consumer Defensive,
AGRX,Agile Therapeutics Inc.,Agile Therapeutics,Drug Manufacturers,Healthcare,
AGS,PlayAGS Inc.,PlayAGS,Travel & Leisure,Consumer Cyclical,
AGTC,Applied Genetic Technologies Corporation,Applied Genetic,Biotechnology,Healthcare,
AGX,Argan Inc.,Argan,Engineering & Construction,Industrials,
AGYS,Agilysys Inc.,Agilysys,Application Software,Technology,
AGZ,iShares Agency Bond,iShares Agency Bond,,,
AHC,A.H. Belo Corporation (TX),A.H. Belo (TX),Publishing,Consumer Cyclical,
AHH,Armada Hoffler Properties Inc.,Armada Hoffler Properties,REITs,Real Estate,
AHL,Aspen Insurance Holdings Limited,Aspen Insurance Limited,Insurance - Specialty,Financial Services,
AHPI,Allied Healthcare Products Inc.,Allied Healthcare Products,Medical Devices,Healthcare,
AHT,Ashford Hospitality Trust Inc,Ashford Hospitality Trust,REITs,Real Estate,
AI,Arlington Asset Investment Corp Class A (new),Arlington Asset Investment (new),Banks,Financial Services,
AIA,iShares Asia 50 ETF,iShares Asia 50 ETF,,,
AIF,Apollo Tactical Income Fund Inc.,Apollo Tactical Income Fund,Asset Management,Financial Services,
AIG,American International Group Inc.,American International,Insurance,Financial Services,
AIHS,Senmiao Technology Limited,Senmiao Technology Limited,Credit Services,Financial Services,
AIMC,Altra Industrial Motion Corp.,Altra Industrial Motion,Industrial Products,Industrials,
AIMT,Aimmune Therapeutics Inc.,Aimmune Therapeutics,Biotechnology,Healthcare,
AIN,Albany International Corporation,Albany International,Homebuilding & Construction,Consumer Cyclical,
AINC,Ashford Inc. (Holding Company),Ashford (Holding Company),Asset Management,Financial Services,
AINV,Apollo Investment Corporation,Apollo Investment,Asset Management,Financial Services,
AIPT,Precision Therapeutics Inc.,Precision Therapeutics,Medical Instruments & Equipment,Healthcare,
AIR,AAR Corp.,AAR,Aerospace & Defense,Industrials,
AIRG,Airgain Inc.,Airgain,Communication Equipment,Technology,
AIRI,Air Industries Group,Air Industries,Aerospace & Defense,Industrials,
AIRT,Air T Inc.,Air T,Transportation & Logistics,Industrials,
AIT,Applied Industrial Technologies Inc.,Applied Industrial,Industrial Distribution,Industrials,
AIV,Apartment Investment and Management Company,Apartment Investment and Management Company,REITs,Real Estate,
AIZ,Assurant Inc.,Assurant,Insurance,Financial Services,
AJG,Arthur J. Gallagher & Co.,Arthur J. Gallagher & Co.,Brokers & Exchanges,Financial Services,
AJRD,Aerojet Rocketdyne Holdings Inc.,Aerojet Rocketdyne,Aerospace & Defense,Industrials,
AJX,Great Ajax Corp.,Great Ajax,REITs,Real Estate,
AKAM,Akamai Technologies Inc.,Akamai,Application Software,Technology,
AKAO,Achaogen Inc.,Achaogen,Biotechnology,Healthcare,
AKBA,Akebia Therapeutics Inc.,Akebia Therapeutics,Biotechnology,Healthcare,
AKCA,Akcea Therapeutics Inc.,Akcea Therapeutics,Biotechnology,Healthcare,
AKER,Akers Biosciences Inc.,Akers Biosciences,Medical Instruments & Equipment,Healthcare,
AKG,Asanko Gold Inc.,Asanko Gold,Metals & Mining,Basic Materials,
AKO.A,Embotelladora Andina S.A.,Embotelladora Andina S.A.,Beverages - Non-Alcoholic,Consumer Defensive,
AKO.B,Embotelladora Andina S.A.,Embotelladora Andina S.A.,Beverages - Non-Alcoholic,Consumer Defensive,
AKP,Alliance California Municipal Income Fund Inc,Alliance California Municipal Income Fund,Asset Management,Financial Services,
AKR,Acadia Realty Trust,Acadia Realty Trust,REITs,Real Estate,
AKRX,Akorn Inc.,Akorn,Drug Manufacturers,Healthcare,
AKS,AK Steel Holding Corporation,AK Steel Holding,Steel,Basic Materials,
AKTS,Akoustis Technologies Inc.,Akoustis,Communication Equipment,Technology,
AKTX,Akari Therapeutics Plc,Akari Therapeutics Plc,Biotechnology,Healthcare,
AL,Air Lease Corporation Class A,Air Lease,Consulting & Outsourcing,Industrials,
ALAC,Alberton Acquisition Corporation,Alberton Acquisition,Conglomerates,Industrials,
ALB,Albemarle Corporation,Albemarle,Chemicals,Basic Materials,
ALBO,Albireo Pharma Inc.,Albireo Pharma,Biotechnology,Healthcare,
ALCO,Alico Inc.,Alico,Consumer Packaged Goods,Consumer Defensive,
ALD,WisdomTree Asia Local Debt Fund,WisdomTree Asia Local Debt Fund,,,
ALDR,Alder BioPharmaceuticals Inc.,Alder BioPharmaceuticals,Biotechnology,Healthcare,
ALDX,Aldeyra Therapeutics Inc.,Aldeyra Therapeutics,Biotechnology,Healthcare,
ALE,Allete Inc.,Allete,Utilities - Regulated,Utilities,
ALEX,Alexander & Baldwin Inc. REIT Holding Company,Alexander & Baldwin REIT Holding Company,REITs,Real Estate,
ALFA,AlphaClone Alternative Alpha,AlphaClone Alternative Alpha,,,
ALG,Alamo Group Inc.,Alamo,Farm & Construction Machinery,Industrials,
ALGN,Align Technology Inc.,Align Technology,Medical Devices,Healthcare,
ALGR,Allegro Merger Corp.,Allegro Merger,Conglomerates,Industrials,
ALGT,Allegiant Travel Company,Allegiant Travel Company,Airlines,Industrials,
ALIM,Alimera Sciences Inc.,Alimera Sciences,Drug Manufacturers,Healthcare,
ALJJ,ALJ Regional Holdings Inc.,ALJ Regional,Business Services,Industrials,
ALK,Alaska Air Group Inc.,Alaska Air,Airlines,Industrials,
ALKS,Alkermes plc,Alkermes plc,Biotechnology,Healthcare,
ALL,Allstate Corporation (The),Allstate (The),Insurance - Property & Casualty,Financial Services,
ALLE,Allegion plc,Allegion plc,Consulting & Outsourcing,Industrials,
ALLK,Allakos Inc.,Allakos,Biotechnology,Healthcare,
ALLO,Allogene Therapeutics Inc.,Allogene Therapeutics,Biotechnology,Healthcare,
ALLT,Allot Ltd.,Allot,Communication Equipment,Technology,
ALLY,Ally Financial Inc.,Ally Financial,Banks,Financial Services,
ALNA,Allena Pharmaceuticals Inc.,Allena Pharmaceuticals,Biotechnology,Healthcare,
ALNY,Alnylam Pharmaceuticals Inc.,Alnylam Pharmaceuticals,Biotechnology,Healthcare,
ALO,Alio Gold Inc. (Canada),Alio Gold (Canada),Metals & Mining,Basic Materials,
ALOT,AstroNova Inc.,AstroNova,Computer Hardware,Technology,
ALPN,Alpine Immune Sciences Inc.,Alpine Immune Sciences,Biotechnology,Healthcare,
ALQA,Alliqua BioMedical Inc.,Alliqua BioMedical,Drug Manufacturers,Healthcare,
ALRM,Alarm.com Holdings Inc.,Alarm.com,Application Software,Technology,
ALRN,Aileron Therapeutics Inc.,Aileron Therapeutics,Biotechnology,Healthcare,
ALSK,Alaska Communications Systems Group Inc.,Alaska Communications Systems,Communication Services,Communication Services,
ALSN,Allison Transmission Holdings Inc.,Allison Transmission,Autos,Consumer Cyclical,
ALT,Altimmune Inc.,Altimmune,Biotechnology,Healthcare,
ALTM,Altus Midstream Company,Altus Midstream Company,Oil & Gas - Midstream,Energy,
ALTR,Altair Engineering Inc.,Altair Engineering,Application Software,Technology,
ALV,Autoliv Inc.,Autoliv,Autos,Consumer Cyclical,
ALX,Alexander's Inc.,Alexander's,REITs,Real Estate,
ALXN,Alexion Pharmaceuticals Inc.,Alexion Pharmaceuticals,Biotechnology,Healthcare,
ALYA,Alithya Group inc.,Alithya,Application Software,Technology,
AM,Antero Midstream Partners LP representing limited partner interests,Antero Midstream Partners representing limited partner interests,Oil & Gas - Midstream,Energy,
AMAG,AMAG Pharmaceuticals Inc.,AMAG Pharmaceuticals,Biotechnology,Healthcare,
AMAL,Amalgamated Bank,Amalgamated Bank,Banks,Financial Services,
AMAT,Applied Materials Inc.,Applied Materials,Semiconductors,Technology,
AMBA,Ambarella Inc.,Ambarella,Semiconductors,Technology,
AMBC,Ambac Financial Group Inc.,Ambac Financial,Insurance - Specialty,Financial Services,
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A,Ambow Education Holding American Depository Shares each representing two,Education,Consumer Defensive,
AMBR,Amber Road Inc.,Amber Road,Application Software,Technology,
AMC,AMC Entertainment Holdings Inc. Class A,AMC Entertainment,Entertainment,Consumer Cyclical,
AMCI,AMCI Acquisition Corp.,AMCI Acquisition,Conglomerates,Industrials,
AMCN,AirMedia Group Inc,AirMedia,Advertising & Marketing Services,Consumer Cyclical,
AMCX,AMC Networks Inc.,AMC Networks,Entertainment,Consumer Cyclical,
AMD,Advanced Micro Devices Inc.,Advanced Micro Devices,Semiconductors,Technology,
AME,AMETEK Inc.,AMETEK,Industrial Products,Industrials,
AMED,Amedisys Inc,Amedisys,Health Care Providers,Healthcare,
AMEH,Apollo Medical Holdings Inc.,Apollo Medical,Health Care Providers,Healthcare,
AMG,Affiliated Managers Group Inc.,Affiliated Managers,Asset Management,Financial Services,
AMGN,Amgen Inc.,Amgen,Biotechnology,Healthcare,
AMGP,Antero Midstream GP LP of Beneficial Interests,Antero Midstream GP of Beneficial Interests,Oil & Gas - Midstream,Energy,
AMH,American Homes 4 Rent of Beneficial Interest,American Homes 4 Rent of Beneficial Interest,REITs,Real Estate,
AMID,American Midstream Partners LP representing Limited Partner Interests,American Midstream Partners representing Limited Partner Interests,Oil & Gas - Midstream,Energy,
AMJ,JPMorgan Chase Capital XVI JP Morgan Alerian MLP ETN,JPMorgan Chase Capital XVI JP Morgan Alerian MLP ETN,,,
AMKR,Amkor Technology Inc.,Amkor Technology,Semiconductors,Technology,
AMLP,Alerian MLP,Alerian MLP,,,
AMN,AMN Healthcare Services Inc,AMN Healthcare Services,Health Care Providers,Healthcare,
AMNB,American National Bankshares Inc.,American National Bankshares,Banks,Financial Services,
AMOT,Allied Motion Technologies Inc.,Allied Motion,Computer Hardware,Technology,
AMOV,America Movil S.A.B. de C.V. Class An Depositary Shares,America Movil S.A.B. de C.V. An Depositary Shares,Communication Services,Communication Services,
AMP,Ameriprise Financial Inc.,Ameriprise Financial,Asset Management,Financial Services,
AMPE,Ampio Pharmaceuticals Inc.,Ampio Pharmaceuticals,Biotechnology,Healthcare,
AMPH,Amphastar Pharmaceuticals Inc.,Amphastar Pharmaceuticals,Drug Manufacturers,Healthcare,
AMR,Alta Mesa Resources Inc.,Alta Mesa Resources,Conglomerates,Industrials,
AMRB,American River Bankshares,American River Bankshares,Banks,Financial Services,
AMRC,Ameresco Inc. Class A,Ameresco,Engineering & Construction,Industrials,
AMRH,Ameri Holdings Inc.,Ameri,Application Software,Technology,
AMRK,A-Mark Precious Metals Inc.,A-Mark Precious Metals,Brokers & Exchanges,Financial Services,
AMRN,Amarin Corporation plc,Amarin plc,Biotechnology,Healthcare,
AMRS,Amyris Inc.,Amyris,Chemicals,Basic Materials,
AMRX,Amneal Pharmaceuticals Inc. Class A,Amneal Pharmaceuticals,Drug Manufacturers,Healthcare,
AMS,American Shared Hospital Services,American Shared Hospital Services,Health Care Providers,Healthcare,
AMSC,American Superconductor Corporation,American Superconductor,Computer Hardware,Technology,
AMSF,AMERISAFE Inc.,AMERISAFE,Insurance - Property & Casualty,Financial Services,
AMSWA,American Software Inc. Class A Common Stock,American Software Common Stock,Application Software,Technology,
AMT,American Tower Corporation (REIT),American Tower (REIT),Communication Services,Communication Services,
AMTB,Mercantil Bank Holding Corporation,Mercantil Bank Holding,Banks,Financial Services,
AMTBB,Mercantil Bank Holding Corporation Class B Common Stock,Mercantil Bank Holding B Common Stock,Banks,Financial Services,
AMTD,TD Ameritrade Holding Corporation,TD Ameritrade Holding,Brokers & Exchanges,Financial Services,
AMTX,Aemetis Inc,Aemetis,Chemicals,Basic Materials,
AMWD,American Woodmark Corporation,American Woodmark,Manufacturing - Apparel & Furniture,Consumer Cyclical,
AMX,America Movil S.A.B. de C.V.n Depository Receipt Series L,America Movil S.A.B. de C.V.n Depository Receipt Series L,Communication Services,Communication Services,
AMZN,Amazon.com Inc.,Amazon.com,Retail - Apparel & Specialty,Consumer Cyclical,
AMZN,Bezos Empire AKA Amazon.com,Bezos Empire,Retail - Apparel & Specialty,Consumer Cyclical,7/1/2017
AN,AutoNation Inc.,AutoNation,Autos,Consumer Cyclical,
ANAB,AnaptysBio Inc.,AnaptysBio,Biotechnology,Healthcare,
ANAT,American National Insurance Company,American National Insurance Company,Insurance - Property & Casualty,Financial Services,
ANDE,The Andersons Inc.,The Andersons,Retail - Defensive,Consumer Defensive,
ANDX,Andeavor Logistics LP representing Limited Partner Interests,Andeavor Logistics representing Limited Partner Interests,Oil & Gas - Midstream,Energy,
ANET,Arista Networks Inc.,Arista Networks,Computer Hardware,Technology,
ANF,Abercrombie & Fitch Company,Abercrombie & Fitch Company,Retail - Apparel & Specialty,Consumer Cyclical,
ANFI,Amira Nature Foods Ltd,Amira Nature Foods,Consumer Packaged Goods,Consumer Defensive,
ANGI,ANGI Homeservices Inc.,ANGI Homeservices,Online Media,Technology,
ANGL,VanEck Vectors Fallen Angel High Yield Bond,VanEck Vectors Fallen Angel High Yield Bond,,,
ANGO,AngioDynamics Inc.,AngioDynamics,Medical Instruments & Equipment,Healthcare,
ANH,Anworth Mortgage Asset Corporation,Anworth Mortgage Asset,REITs,Real Estate,
ANIK,Anika Therapeutics Inc.,Anika Therapeutics,Biotechnology,Healthcare,
ANIP,ANI Pharmaceuticals Inc.,ANI Pharmaceuticals,Biotechnology,Healthcare,
ANIX,Anixa Biosciences Inc.,Anixa Biosciences,Medical Diagnostics & Research,Healthcare,
ANSS,ANSYS Inc.,ANSYS,Application Software,Technology,
ANTM,Anthem Inc.,Anthem,Health Care Plans,Healthcare,
ANY,Sphere 3D Corp.,Sphere 3D,Application Software,Technology,
AOA,iShares Core Aggressive Allocation,iShares Core Aggressive Allocation,,,
AOBC,American Outdoor Brands Corporation,American Outdoor Brands,Aerospace & Defense,Industrials,
AOD,Aberdeen Total Dynamic Dividend Fund,Aberdeen Total Dynamic Dividend Fund,Asset Management,Financial Services,
AOK,iShares Core Conservative Allocation,iShares Core Conservative Allocation,,,
AOM,iShares Core Moderate Allocation,iShares Core Moderate Allocation,,,
AON,Aon plc Class A (UK),Aon plc (UK),Brokers & Exchanges,Financial Services,
AOR,iShares Core Growth Allocation,iShares Core Growth Allocation,,,
AOS,A.O. Smith Corporation,A.O. Smith,Industrial Products,Industrials,
AOSL,Alpha and Omega Semiconductor Limited,Alpha and Omega Semiconductor Limited,Semiconductors,Technology,
AP,Ampco-Pittsburgh Corporation,Ampco-Pittsburgh,Industrial Products,Industrials,
APA,Apache Corporation,Apache,Oil & Gas - E&P,Energy,
APAM,Artisan Partners Asset Management Inc. Class A,Artisan Partners Asset Management,Asset Management,Financial Services,
APC,Anadarko Petroleum Corporation,Anadarko Petroleum,Oil & Gas - E&P,Energy,
APD,Air Products and Chemicals Inc.,Air Products and Chemicals,Chemicals,Basic Materials,
APDN,Applied DNA Sciences Inc,Applied DNA Sciences,Consulting & Outsourcing,Industrials,
APEI,American Public Education Inc.,American Public Education,Education,Consumer Defensive,
APEN,Apollo Endosurgery Inc.,Apollo Endosurgery,Medical Devices,Healthcare,
APF,Morgan Stanley Asia-Pacific Fund Inc.,Morgan Stanley Asia-Pacific Fund,Asset Management,Financial Services,
APH,Amphenol Corporation,Amphenol,Computer Hardware,Technology,
APHA,Aphria Inc.,Aphria,Drug Manufacturers,Healthcare,
APHB,AmpliPhi Biosciences Corporation,AmpliPhi Biosciences,Biotechnology,Healthcare,
APLE,Apple Hospitality REIT Inc.,Apple Hospitality REIT,REITs,Real Estate,
APLS,Apellis Pharmaceuticals Inc.,Apellis Pharmaceuticals,Biotechnology,Healthcare,
